2024-12-08 19:30:02 [INFO] django.utils.autoreload autoreload.run_with_reloader:668 - Watching for file changes with StatReloader
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.run:330 - Waiting for apps ready_event.
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.run:342 - Apps ready_event triggered. Sending autoreload_started signal.
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.watch_dir:296 - Watching dir /home/instahyre/Pictures/hyrelater/.venv/lib/python3.12/site-packages/tastypie/templates with glob **/*.
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.watch_dir:296 - Watching dir /home/instahyre/Pictures/hyrelater/templates with glob **/*.
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.watch_dir:296 - Watching dir /home/instahyre/Pictures/hyrelater/locale with glob **/*.mo.
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.watch_dir:296 - Watching dir /home/instahyre/Pictures/hyrelater/hyrelater/locale with glob **/*.mo.
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.watch_dir:296 - Watching dir /home/instahyre/Pictures/hyrelater/authentication/locale with glob **/*.mo.
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.watch_dir:296 - Watching dir /home/instahyre/Pictures/hyrelater/.venv/lib/python3.12/site-packages/tastypie/locale with glob **/*.mo.
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.tick:394 - File /usr/lib/python3.12/wsgiref/simple_server.py first seen with mtime 1730917939.0
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.tick:394 - File /home/instahyre/Pictures/hyrelater/.venv/lib/python3.12/site-packages/django/contrib/sessions/apps.py first seen with mtime 1733681209.6855755
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.tick:394 - File /usr/lib/python3.12/copyreg.py first seen with mtime 1730917939.0
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.tick:394 - File /home/instahyre/Pictures/hyrelater/.venv/lib/python3.12/site-packages/tastypie/utils/formatting.py first seen with mtime 1733681212.8926132
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.tick:394 - File /home/instahyre/Pictures/hyrelater/.venv/lib/python3.12/site-packages/django/http/__init__.py first seen with mtime 1733681209.9485784
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.tick:394 - File /home/instahyre/Pictures/hyrelater/.venv/lib/python3.12/site-packages/django/core/mail/message.py first seen with mtime 1733681209.8465772
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.tick:394 - File /home/instahyre/Pictures/hyrelater/.venv/lib/python3.12/site-packages/django/contrib/admin/__init__.py first seen with mtime 1733681208.788565
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.tick:394 - File /home/instahyre/Pictures/hyrelater/.venv/lib/python3.12/site-packages/psycopg/pq/misc.py first seen with mtime 1733681207.9715552
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.tick:394 - File /home/instahyre/Pictures/hyrelater/.venv/lib/python3.12/site-packages/django/db/models/constants.py first seen with mtime 1733681209.8965778
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.tick:394 - File /usr/lib/python3.12/mimetypes.py first seen with mtime 1730917939.0
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.tick:394 - File /home/instahyre/Pictures/hyrelater/.venv/lib/python3.12/site-packages/django/utils/cache.py first seen with mtime 1733681209.9705787
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.tick:394 - File /usr/lib/python3.12/ctypes/util.py first seen with mtime 1730917939.0
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.tick:394 - File /usr/lib/python3.12/dis.py first seen with mtime 1730917939.0
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.tick:394 - File /home/instahyre/Pictures/hyrelater/.venv/lib/python3.12/site-packages/django/views/__init__.py first seen with mtime 1733681209.9825788
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.tick:394 - File /usr/lib/python3.12/asyncio/mixins.py first seen with mtime 1730917939.0
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.tick:394 - File /home/instahyre/Pictures/hyrelater/.venv/lib/python3.12/site-packages/django/contrib/contenttypes/apps.py first seen with mtime 1733681209.2575703
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.tick:394 - File /home/instahyre/Pictures/hyrelater/.venv/lib/python3.12/site-packages/django/utils/crypto.py first seen with mtime 1733681209.9705787
2024-12-08 19:30:02 [DEBUG] django.utils.autoreload autoreload.tick:394 - File /home/instahyre/Pictures/hyrelater/.venv/lib/python3.12/site-packages/django/core/management/base.py first seen with mtime 1733681209.8505774
